Feature,Absolute AUC Act,Absolute Mean Act,Mean Absolute Diff Act,Square AUC Act,Absolute AUC Post,Absolute Mean Post,Mean Absolute Diff Post,Square AUC Post,Variance Post,RMS Post,Median Freq Post
Relaxado,1.4495589819207597,2.9041179638415193,1.5330661322645291,5.650687095027867,4.410723682523402,2.9422589220840285,1.2576696641202263,16.847438143122858,11.238597333333333,3.352465637151714,200.26702269692925
Relaxado,1.2735767392124795,2.5487545603220525,2.6192384769539077,7.558529836547153,2.2761064913825644,1.5177376609217093,1.1593494081809548,7.2646836075974415,4.843055555555555,2.2007534151604604,190.2536715620828
Relaxado,0.6022338347030545,1.206467669406109,1.2585170340681362,1.105911156276781,1.8586662273220667,1.2399015868093253,0.8959550332360884,3.45078153102503,2.2990062222222223,1.5171109583037632,221.62883845126836
Relaxado,0.6096518088652925,1.2213036177305852,1.3346693386773547,1.1205545332096256,1.9393680701321143,1.2940530106597519,0.8762661134504562,3.789153005982988,2.528655555555556,1.5901953869270675,216.2883845126836
Relaxado,0.5745310914625306,1.1510621829250611,1.1503006012024048,0.9831852240055883,1.8920980576895194,1.2617320384596797,0.8847940468792028,3.55240436671616,2.3684,1.5389858717639173,218.95861148197596
Relaxado,0.612731627772141,1.2289604290476883,1.2725450901803608,1.118454748993517,1.8326044354254256,1.222568681451419,0.8581390831071494,3.398145976587503,2.2670382222222223,1.5057013748779513,210.9479305740988
Relaxado,2.8695687121866893,5.755585627855291,2.2324649298597192,20.61255520252592,8.509120508704779,5.678229740297155,2.030043982896446,60.914402549091506,40.64929955555556,6.376103219497892,183.5781041388518
Relaxado,3.7761120371472785,7.558224074294558,2.7374749498997994,35.1313561193516,11.138183236099533,7.426122157399689,2.4609677078841563,103.68581688477676,69.11977599999999,8.314140356578655,179.5727636849132
Relaxado,3.1552722127461617,6.326011474647232,2.3667334669338675,24.854120610762767,9.5956074585207,6.400227322065437,2.2561191618829777,77.1318031993262,51.437484000000005,7.172003878705568,183.5781041388518
Relaxado,3.0366068716428964,6.074213743285793,2.338677354709419,23.003653844354083,8.957486015928875,5.973657343952584,2.1019186588675964,67.3255614555267,44.88953955555556,6.699979874988839,188.9185580774366
Relaxado,3.1019309528930954,6.208324370832437,2.4128256513026054,24.296109895938137,9.421099161109915,6.2813994407399445,2.2697052928811363,74.71446716897697,49.79398888888889,7.057644585244983,189.58611481975967
Pedra,22.2136744459698,44.5533488919396,36.637274549098194,1926.775742658454,43.41247685820748,28.954651238804992,20.395922835920814,2057.1078889993605,1371.7867626666666,37.037640776462226,158.2109479305741
Pedra,20.622791068902806,41.31358213780561,35.4188376753507,1677.4992733437741,41.02801646797333,27.35924779416717,18.524279876218415,1802.8090169327263,1201.9512995555556,34.66918999924024,155.54072096128172
Pedra,18.68166134572641,37.41332269145282,33.49498997995992,1336.5249316454392,28.808847140836527,19.213355290631103,13.163577226873548,870.3366409005928,580.3550555555555,24.09057925016663,162.2162883845127
Pedra,19.82965012747598,39.786,32.82565130260521,1393.9257140848886,37.69970484408708,25.147136562724718,17.161237255509686,1518.3244686608564,1012.7775306666667,31.82430503009296,153.5380507343124
Pedra,20.687202018381694,41.44514218778158,36.37675350701403,1418.5926854306504,34.50131816543521,23.024299393284075,15.43054136769981,1309.48404065549,873.9124515555555,29.56236878771248,154.20560747663552
Pedra,18.317424887739826,36.681849775479655,32.57114228456914,1126.5157043917877,38.10718519526466,25.411013743366446,17.37470537577054,1591.7858805069109,1061.2925706666665,32.57764090670648,153.5380507343124
Pedra,20.67147582930488,41.40057076179363,35.100200400801604,1613.1470010528087,31.05035380896816,20.70923587264544,14.457321383672909,1044.4398412438773,696.420324888889,26.389963029283095,159.5460614152203
Pedra,19.810545165899356,39.65985807270995,35.83567134268537,1487.0297633246703,33.06442586124781,22.054361327194794,15.507030511212378,1160.4276430296554,773.8033115555555,27.81758262826152,156.2082777036048
Pedra,13.926876914759415,27.928360425301857,24.95390781563126,862.4910477068584,34.24348233916022,22.856654892773474,15.405527515129627,1248.2946852724403,833.6396315555558,28.873197710811162,155.54072096128172
Pedra,20.332748851681732,40.713497703363466,34.82565130260521,1624.8282707843366,34.14425833456809,22.76583888971206,15.407393243146934,1258.218992689247,838.8201795555555,28.962664760218086,155.54072096128172
Pedra,17.031875565610857,34.11151131221719,30.266533066132265,1258.1442505579328,29.40249095022625,19.616660633484162,13.06967540954905,946.0577283941775,631.0424973333334,25.120572617590565,146.19492656875835
Pedra,14.780610617199521,29.656841169430674,26.318637274549097,860.8234491506207,21.776741494272528,14.537160996181681,10.199345754067995,518.3026947663109,346.1968195555555,18.606365041145665,160.2136181575434
Pedra,18.636310466760964,37.30982946049707,30.37875751503006,1332.2796970458346,42.46899767629823,28.31966511753216,18.33513970585361,1939.7851601615298,1293.2637333333334,35.962265575004864,148.19759679572763
Pedra,22.11529443762064,44.28703702403931,29.11422845691383,2354.7438468785354,43.57443147920689,29.062437035737265,17.88640821669614,1987.4292192258843,1325.3580315555555,36.40562945719963,136.84913217623497
Pedra,23.03181625071442,46.156632501428845,33.22845691382766,2092.0001174088775,47.15273061535531,31.454381659998734,20.490013346040943,2407.156956529945,1605.4384426666666,40.06792408118041,143.52469959946595
Pedra,23.363688556365318,46.78237711273066,34.08617234468938,1987.8495693300451,46.923252984958914,31.30044709774125,19.277298630161358,2308.613528030974,1539.5735515555552,39.23749487587512,146.86248331108143
Pedra,19.496519564835936,39.02903912967187,32.31663326653307,1416.339734081403,44.13180452711002,29.43400748669357,18.68344258516615,2049.9032478648633,1366.9859888888889,36.97293735785962,149.53271028037383
Pedra,18.007452343596785,36.08619494018434,28.987975951903806,1388.1270617591076,40.88451588546775,27.273440674642085,16.686415248918642,1718.9032317152933,1146.4017862222222,33.858560259096045,140.18691588785046
Pedra,18.13391169580105,36.31221012795098,29.31062124248497,1335.2807245524496,41.172524959452154,27.459812218417735,17.549637164248743,1793.211387744228,1195.801988888889,34.580370150837595,144.19225634178906
Pedra,17.58674304050675,35.2284860810135,28.20240480961924,1110.2544595983397,45.555993082180386,30.372328721453577,19.56206454689302,2194.1960089889835,1462.7916373333333,38.246591994713164,144.19225634178906
Papel,32.87152889290178,65.90005778580358,66.54308617234469,3672.0756600795303,48.031472982358665,32.0587629763393,24.38139497730626,2501.6610654434094,1670.6354506666667,40.87347731991591,188.9185580774366
Papel,36.955196967233114,74.0093939344662,76.79559118236473,4270.356628662848,55.513662858768996,37.03049998644876,28.108274204647696,3405.4843775081804,2271.1233328888893,47.65638264937936,182.9105473965287
Papel,28.889341111873712,57.860682223747425,60.72945891783567,2727.3433497743754,51.617854446514364,34.452236297676244,27.068511602433784,3048.562751391485,2034.832684,45.109124735301926,187.58344459279039
Papel,1.4171612214961984,2.869022002933722,2.7975951903807617,13.09682063723979,53.61968542472329,35.74689042983509,27.278849632697305,5493.301463371346,3662.198244888889,60.516123945922764,174.23230974632844
Papel,29.700390679260998,59.47178135852202,59.76953907815631,3107.1012673505584,39.617148562300315,26.420432374866877,19.893486336818885,1752.8664538470948,1168.6994395555555,34.186254682304586,177.57009345794393
Papel,23.075387319675116,46.22477463935022,47.35070140280561,1897.9423070576338,32.82013559219299,21.892654948074515,16.690220764624996,1166.0424636702674,777.6988693333334,27.88731989833677,185.5807743658211
Papel,18.119761698975182,36.293523397950366,36.412825651302605,1173.5858058536814,31.97073496727991,21.327725315882617,16.06886403505123,1098.064869467627,732.5865862222222,27.06633785534536,190.92122830440587
Papel,26.055118974857617,52.163237949715246,52.635270541082164,2852.2869560196027,36.26881143214336,24.197335926286062,19.104487494139953,1485.8751661278661,991.143696,31.4827661412939,190.92122830440587
Papel,18.631894456086876,37.332104781863215,28.344689378757515,1247.0974482882748,46.92700000000001,31.304,19.191671694255813,2344.0147696802132,1563.5346595555557,39.541933385178126,135.51401869158877
Papel,38.46889271670372,77.02719028893827,66.25851703406813,5303.372166363939,70.24330774491366,46.843538496609106,32.461149514276975,5293.39285109197,3529.242788888889,59.40763064226298,160.8811748998665
Papel,38.33165336254524,76.69871708896932,64.01803607214428,4746.529358543231,69.25493417793864,46.19095611862577,32.83383600751934,5164.87260391354,3444.5217328888884,58.690048162159286,165.55407209612818
Papel,32.475590902355904,65.04718180471181,59.85170340681363,3865.2007846124216,59.53097725588977,39.74031817059317,27.02650099819596,3830.193315257574,2559.8965026666665,50.59547211472579,165.55407209612818
Papel,33.72895642676477,67.52739112439642,64.81563126252505,3855.8174488904415,63.52721717636238,42.356985360619305,30.548800449629102,4370.203456903955,2913.5184995555555,53.97701948537817,168.22429906542055
Papel,35.71422433760309,71.482,60.37074148296593,4327.688952842104,55.06490893139147,36.72393928759431,25.511580569417454,3306.118158514248,2204.5083462222224,46.95219521350852,163.5514018691589
Papel,30.299046845614637,60.662350487262785,53.35871743486974,3107.906528471258,54.58304077620107,36.429027184134036,26.18833105925407,3257.249262855012,2174.279770666667,46.62918654842563,171.56208277703604
Tesoura,24.546499607766226,49.18399921553246,53.92585170340681,2184.025293708959,31.421498627181812,20.94911015231745,16.579274200058325,1097.7727004160731,731.8404173333333,27.052783523786,192.92389853137516
Tesoura,20.018322266981524,40.09464453396304,38.66132264529058,1368.527475737522,26.820611334907632,17.888407556605085,13.490067601672866,834.356492604823,556.409988888889,23.588350501969487,178.237650200267
Tesoura,14.76068995078584,29.57737990157168,26.220440881763526,863.5507915292637,21.27755762819495,14.203593586283537,10.848814487215428,528.3391676332201,352.7486115555555,18.78165913285744,184.2456608811749
Tesoura,15.120160479365655,30.311320958731308,29.180360721442884,798.1822466952868,19.61267147233736,13.098654292064637,10.482643862653195,459.59036700642497,307.2592262222223,17.529045623162503,190.92122830440587
Tesoura,12.881850611208131,25.812307032862357,23.334669338677354,652.3393274550923,20.87230703286236,13.934871355241572,10.931497857332205,516.0227340538507,344.62527288888884,18.564209234495546,184.913217623498
Tesoura,12.511483234901885,25.09455667746237,23.577154308617235,580.0569829110234,19.697179081729857,13.14098279037277,9.903323877186939,439.72901059850443,293.28863288888886,17.12575761033644,185.5807743658211
Tesoura,15.764366951448219,31.614733902896443,29.130260521042086,1054.7077254829821,22.80184892685976,15.209899284573174,11.436257359042308,608.4530197112936,405.746336,20.143415803939497,189.58611481975967
Tesoura,15.666377623063344,31.37375524612669,30.27054108216433,930.3507680452824,22.536976956265935,15.02813244427012,11.239392908994306,581.933594739225,387.981484,19.69726057088487,185.5807743658211
Tesoura,13.260675500085487,26.55601709693965,24.72945891783567,675.2661183703358,16.730856129252864,11.158904086168576,8.81099612655659,334.3060897761645,222.91211155555555,14.93029059639748,187.58344459279039
Tesoura,28.849190843087868,57.770960142243304,44.07214428857716,3059.6356860257592,46.66125996443918,31.140032794981973,22.96511330564526,2471.781420745266,1649.5760106666667,40.61503875427916,176.90253671562084
Tesoura,20.382598309815478,40.83219661963095,35.68537074148296,1579.6333930499964,37.93945084509225,25.316633896728174,17.436301618766674,1593.4344864569744,1063.2137226666666,32.606968330960015,184.913217623498
Tesoura,22.888226543895854,45.88290617558343,39.60320641282565,1827.846989806565,31.36353087791713,20.927687251944754,12.980247719784826,1041.2440031641438,694.6859462222222,26.35698130442743,177.57009345794393
Tesoura,18.520283148961965,37.091566297923926,29.749498997995993,1343.9686183202416,29.77216032732232,19.85410688488155,12.165047345297936,878.9676446519687,586.0419782222223,24.20830720720723,174.23230974632844
